136-->140:SolFound, time: 40.7492179871
108-->28:UNSAT, time: 0.969088077545
42-->28:UNSAT, time: 5.21363210678
89-->65:SolFound, time: 173.049417019
111-->28:UNSAT, time: 1.94717407227
113-->28:UNSAT, time: 0.995376825333
33-->138:UNSAT, time: 1.02403092384
41-->28:UNSAT, time: 50.4295961857
101-->138:UNSAT, time: 0.841019868851
36-->138:UNSAT, time: 25.6503140926
134-->138:SolFound, time: 8.58529496193
102-->138:UNSAT, time: 4.98591399193
174-->28:UNSAT, time: 45.9211280346
82-->184:UNSAT, time: 17.2594239712
149-->61:UNSAT, time: 0.946813821793
114-->61:SolFound, time: 35.9272971153
57-->61:UNSAT, time: 28.9425067902
57-->116:UNSAT, time: 19.5561540127
149-->116:UNSAT, time: 0.972742795944
173-->28:UNSAT, time: 116.400400877
51-->125:SolFound, time: 1.79001998901
56-->125:UNSAT, time: 1.14682602882
58-->125:SolFound, time: 2.73760795593
59-->125:UNSAT, time: 4.95002603531
57-->125:UNSAT, time: 23.6204571724
115-->116:SolFound, time: 55.3215019703
146-->60:UNSAT, time: 0.873172998428
90-->125:SolFound, time: 16.6377599239
149-->60:UNSAT, time: 0.988169908524
90-->60:UNSAT, time: 8.07657289505
57-->60:UNSAT, time: 2.0102481842
59-->60:UNSAT, time: 4.97143888474
130-->184:UNSAT, time: 143.670405865
56-->60:UNSAT, time: 53.5212988853
64-->69:SolFound, time: 86.2258548737
64-->65:SolFound, time: 465.501159906
64-->70:SolFound, time: 141.445017099
38-->127:UNSAT, time: 1.02977895737
42-->127:UNSAT, time: 1.04753708839
88-->69:SolFound, time: 103.19451499
108-->127:UNSAT, time: 19.0193870068
113-->127:UNSAT, time: 3.03987789154
131-->135:SolFound, time: 2.73192000389
111-->127:SolFound, time: 20.4968869686
68-->69:SolFound, time: 138.511920929
99-->135:UNSAT, time: 0.990884065628
35-->127:UNSAT, time: 73.8033311367
100-->135:UNSAT, time: 4.80740690231
102-->135:UNSAT, time: 14.9563369751
132-->135:SolFound, time: 33.8747239113
132-->137:UNSAT, time: 20.9823489189
100-->136:UNSAT, time: 0.989328861237
133-->137:SolFound, time: 27.3440539837
132-->136:SolFound, time: 32.2356021404
52-->77:UNSAT, time: 758.213032007
133-->136:SolFound, time: 33.5818400383
55-->89:SolFound, time: 11.5987889767
100-->134:UNSAT, time: 6.69380807877
99-->134:UNSAT, time: 20.8419129848
147-->114:UNSAT, time: 3.02980804443
56-->89:SolFound, time: 55.2213099003
102-->134:UNSAT, time: 30.6384911537
178-->114:SolFound, time: 51.4685559273
146-->114:UNSAT, time: 1.93294692039
57-->114:UNSAT, time: 14.9384582043
149-->114:UNSAT, time: 0.92084813118
177-->114:UNSAT, time: 47.5742900372
57-->51:UNSAT, time: 1.0010240078
59-->51:SolFound, time: 4.72368812561
57-->58:SolFound, time: 25.8862278461
176-->115:UNSAT, time: 0.947196960449
177-->115:UNSAT, time: 3.04863405228
147-->115:UNSAT, time: 1.90689682961
86-->89:SolFound, time: 153.759463072
146-->115:UNSAT, time: 65.7635838985
176-->114:SolFound, time: 137.317429066
84-->88:SolFound, time: 66.0820660591
87-->88:SolFound, time: 56.67801404
96-->131:UNSAT, time: 17.6415979862
100-->131:UNSAT, time: 0.987799167633
35-->111:UNSAT, time: 2.8945710659
85-->89:SolFound, time: 259.238301039
36-->111:UNSAT, time: 14.3349092007
97-->131:UNSAT, time: 20.1547989845
42-->111:UNSAT, time: 0.906929016113
38-->111:UNSAT, time: 16.2580759525
113-->111:SolFound, time: 3.77892994881
108-->111:SolFound, time: 19.156719923
82-->68:UNSAT, time: 2.80311608315
174-->111:UNSAT, time: 25.0354948044
63-->69:SolFound, time: 462.945530891
85-->88:SolFound, time: 177.469137192
96-->132:UNSAT, time: 0.95067691803
97-->132:UNSAT, time: 2.53976106644
106-->132:UNSAT, time: 7.63496279716
100-->132:UNSAT, time: 5.76055693626
67-->68:SolFound, time: 112.972814083
0-->132:SolFound, time: 173.298685789
0-->133:SolFound, time: 173.444691181
52-->55:SolFound, time: 193.12921381
63-->64:SolFound, time: 447.125664949
52-->56:SolFound, time: 117.491424084
147-->178:UNSAT, time: 1.88610696793
63-->68:SolFound, time: 379.138834
62-->68:SolFound, time: 386.508008003
54-->56:SolFound, time: 99.5587129593
177-->178:SolFound, time: 22.0113389492
148-->57:SolFound, time: 1.85484194756
181-->178:SolFound, time: 28.481304884
53-->57:UNSAT, time: 1.00310707092
149-->57:SolFound, time: 3.68650197983
53-->56:SolFound, time: 125.709011078
147-->176:UNSAT, time: 1.06242609024
146-->176:UNSAT, time: 6.27571892738
145-->57:SolFound, time: 43.2109200954
175-->176:SolFound, time: 35.1019630432
53-->55:SolFound, time: 248.399572849
146-->178:UNSAT, time: 103.544363022
146-->57:SolFound, time: 85.0394570827
180-->176:SolFound, time: 41.2975161076
83-->84:SolFound, time: 20.3145129681
78-->85:SolFound, time: 8.8961379528
82-->87:SolFound, time: 100.945333004
81-->85:SolFound, time: 14.9821288586
153-->85:UNSAT, time: 5.23875999451
35-->113:UNSAT, time: 1.13559794426
38-->113:UNSAT, time: 13.7033729553
42-->113:UNSAT, time: 4.9657740593
174-->113:UNSAT, time: 6.87204289436
33-->108:UNSAT, time: 1.00180387497
35-->108:UNSAT, time: 2.00412511826
